Código IDA,Nombre de instalación,Provincia,Municipio,Nombre vía,Código postal,Espacio deportivo (texto libre)
39,COMPLEJO HIPICO PEPE RIOS,Sevilla,Mairena del Aljarafe,CARRETERA MAIRENA-SAN JUAN,41927,PISTA EXTERIOR 2
40,C.E.I.P. ANDALUCIA,Sevilla,Guillena,AVDA. EL MOLINILLO,41210,GIMNASIO
40,C.E.I.P. ANDALUCIA,Sevilla,Guillena,AVDA. EL MOLINILLO,41210,PISTA POLIDEPORTIVA
41,I.E.S. EL MOLINILLO,Sevilla,Guillena,PLAZA DEL SALVADOR,41210,PISTA POLIDEPORTIVA
42,POLIDEPORTIVO MUNICIPAL RAFAEL  SANCHEZ,Sevilla,Guillena,AVDA. DE GUILLENA,41210,CAMPO DE FÚTBOL
42,POLIDEPORTIVO MUNICIPAL RAFAEL  SANCHEZ,Sevilla,Guillena,AVDA. DE GUILLENA,41210,CAMPO DE FÚTBOL SALA
42,POLIDEPORTIVO MUNICIPAL RAFAEL  SANCHEZ,Sevilla,Guillena,AVDA. DE GUILLENA,41210,PISCINA 1
42,POLIDEPORTIVO MUNICIPAL RAFAEL  SANCHEZ,Sevilla,Guillena,AVDA. DE GUILLENA,41210,PISCINA 2
42,POLIDEPORTIVO MUNICIPAL RAFAEL  SANCHEZ,Sevilla,Guillena,AVDA. DE GUILLENA,41210,PISTA DE TENIS
42,POLIDEPORTIVO MUNICIPAL RAFAEL  SANCHEZ,Sevilla,Guillena,AVDA. DE GUILLENA,41210,PISTA POLIDEPORTIVA
43,C.E.I.P. VIRGEN DEL ROSARIO,Sevilla,Guillena,CONCEPCIÓN SOTO,41210,PISTA POLIDEPORTIVA
44,URB. ENTREMONTES,Sevilla,Guillena,CARRETERA MERIDA,41210,PISTA FUTBOL SALA
45,URB. LAS NIEVES,Sevilla,Guillena,CARRETERA SEVILLA-MERIDA,41210,VASO CHAPOTEO
45,URB. LAS NIEVES,Sevilla,Guillena,CARRETERA SEVILLA-MERIDA,41210,VASO RECREATIVO
46,CAMPING SIERRA BRAVA,Sevilla,Guillena,AVDA. LOS LAGOS,41210,PISCINA
46,CAMPING SIERRA BRAVA,Sevilla,Guillena,AVDA. LOS LAGOS,41210,PISTA POLIDEPORTIVA
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,CAMPO DE FUTBOL 1
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,CAMPO DE FUTBOL 2
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,CAMPO DE FUTBOL 3
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,CAMPO DE FUTBOL 4
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,MESAS DE PING PONG
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISCINA 1
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISCINA 2
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA DE ATLETISMO
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA PADEL 1
